CRIM,AGE,RAD,PTRATIO,LSTAT,MEDV
0.00632,65.2,1,15.3,4.98,24
0.02731,78.9,2,17.8,9.14,21.6
0.02729,61.1,2,17.8,4.03,34.7
0.03237,45.8,3,18.7,2.94,33.4
0.06905,54.2,3,18.7,6.8,36.2
0.02985,58.7,3,18.7,5.21,28.7
0.08829,66.6,5,15.2,12.43,22.9
0.14455,96.1,5,15.2,19.15,27.1
0.21124,100,5,15.2,29.93,16.5
0.17004,85.9,5,15.2,17.1,18.9
0.22489,94.3,5,15.2,20.45,15
0.11747,82.9,5,15.2,13.27,18.9
0.09378,39,5,15.2,15.71,21.7
0.62976,61.8,4,21,8.26,20.4
0.63796,84.5,4,21,10.26,18.2
0.62739,56.5,4,21,8.47,19.9
1.05393,29.3,4,21,6.58,23.1
0.7842,81.7,4,21,14.67,17.5
0.80271,36.6,4,21,11.69,20.2
0.7258,69.5,4,21,11.28,18.2
1.25179,98.1,4,21,21.02,13.6
0.85204,89.2,4,21,13.83,19.6
1.23247,91.7,4,21,18.72,15.2
0.98843,100,4,21,19.88,14.5
0.75026,94.1,4,21,16.3,15.6
0.84054,85.7,4,21,16.51,13.9
0.67191,90.3,4,21,14.81,16.6
0.95577,88.8,4,21,17.28,14.8
0.77299,94.4,4,21,12.8,18.4
1.00245,87.3,4,21,11.98,21
1.13081,94.1,4,21,22.6,12.7
1.35472,100,4,21,13.04,14.5
1.38799,82,4,21,27.71,13.2
1.15172,95,4,21,18.35,13.1
1.61282,96.9,4,21,20.34,13.5
0.06417,68.2,5,19.2,12.3,18.9
0.09744,61.4,5,19.2,11.41,20
0.08014,41.5,5,19.2,8.77,21
0.17505,30.2,5,19.2,10.13,24.7
0.02763,21.8,3,18.3,4.32,30.8
0.03359,15.8,3,18.3,1.98,34.9
0.12744,2.9,3,17.9,4.84,26.6
0.1415,6.6,3,17.9,5.81,25.3
0.15936,6.5,3,17.9,7.44,24.7
0.12269,40,3,17.9,9.55,21.2
0.17142,33.8,3,17.9,10.21,19.3
0.18836,33.3,3,17.9,14.15,20
0.22927,85.5,3,17.9,18.8,16.6
0.25387,95.3,3,17.9,30.81,14.4
0.21977,62,3,17.9,16.2,19.4
0.08873,45.7,4,16.8,13.45,19.7
0.04337,63,4,16.8,9.43,20.5
0.0536,21.1,4,16.8,5.28,25
0.28927,21.4,4,16.8,8.43,23.4
0.0136,47.6,3,21.1,14.8,18.9
0.01311,21.9,5,17.9,4.81,35.4
0.02055,35.7,2,17.3,5.77,24.7
0.01432,40.5,5,15.1,3.95,31.6
0.15445,29.2,8,19.7,6.86,23.3
0.10328,47.2,8,19.7,9.22,19.6
0.14932,66.2,8,19.7,13.15,18.7
0.17171,93.4,8,19.7,14.44,16
0.11027,67.8,8,19.7,6.73,22.2
0.1265,43.4,8,19.7,9.5,25
0.01951,59.5,3,18.6,8.05,33
0.03584,17.8,4,16.1,4.67,23.5
0.04379,31.1,4,16.1,10.24,19.4
0.05789,21.4,4,18.9,8.1,22
0.13554,36.8,4,18.9,13.09,17.4
0.12816,33,4,18.9,8.79,20.9
0.08826,6.6,4,19.2,6.72,24.2
0.15876,17.5,4,19.2,9.88,21.7
0.09164,7.8,4,19.2,5.52,22.8
0.19539,6.2,4,19.2,5.12,23.4
0.07896,44,5,18.7,6.78,24.1
0.09512,45,5,18.7,8.94,21.4
0.10153,74.5,5,18.7,11.97,20
0.08707,45.8,5,18.7,10.27,20.8
0.05646,53.7,5,18.7,12.34,21.2
0.08387,36.6,5,18.7,8.4,20.3
0.04113,33.5,4,19,5.29,28
0.04462,70.4,4,19,7.22,23.9
0.03659,32.2,4,19,6.72,24.8
0.03551,46.7,4,19,7.51,22.9
0.05059,48,3,18.5,9.62,23.9
0.05735,56.1,3,18.5,6.53,26.6
0.05188,45.1,3,18.5,12.86,22.5
0.07151,56.8,3,18.5,9.23,22.2
0.0566,86.3,2,17.8,5.5,23.6
0.05302,63.1,2,17.8,5.7,28.7
0.04684,66.1,2,17.8,8.81,22.6
0.03932,73.9,2,17.8,8.2,22
0.04203,53.6,4,18.2,8.16,22.9
0.02875,28.9,4,18.2,6.21,25
0.04294,77.3,4,18.2,10.59,20.6
0.12204,57.8,2,18,6.65,28.4
0.11504,69.6,2,18,11.34,21.4
0.12083,76,2,18,4.21,38.7
0.08187,36.9,2,18,3.57,43.8
0.0686,62.5,2,18,6.19,33.2
0.14866,79.9,5,20.9,9.42,27.5
0.11432,71.3,5,20.9,7.67,26.5
0.22876,85.4,5,20.9,10.63,18.6
0.21161,62.5,5,20.9,13.44,19.3
0.1396,90,5,20.9,12.33,20.1
0.13262,96.7,5,20.9,16.47,19.5
0.1712,91.9,5,20.9,18.66,19.5
0.13117,85.2,5,20.9,14.09,20.4
0.12802,97.1,5,20.9,12.27,19.8
0.26363,91.2,5,20.9,15.55,19.4
